Iteration: #330, Cost: nan, Gradient Magnitude: 89.73
Iteration: #331, Cost: nan, Gradient Magnitude: 89.55
Iteration: #332, Cost: nan, Gradient Magnitude: 89.37
Iteration: #333, Cost: nan, Gradient Magnitude: 89.19
Iteration: #334, Cost: nan, Gradient Magnitude: 89.01
Iteration: #335, Cost: nan, Gradient Magnitude: 88.84
Iteration: #336, Cost: nan, Gradient Magnitude: 88.66
Iteration: #337, Cost: nan, Gradient Magnitude: 88.48
Iteration: #338, Cost: nan, Gradient Magnitude: 88.31
Iteration: #339, Cost: nan, Gradient Magnitude: 88.13
Iteration: #340, Cost: nan, Gradient Magnitude: 87.95
Iteration: #341, Cost: nan, Gradient Magnitude: 87.78
Iteration: #342, Cost: nan, Gradient Magnitude: 87.60
Iteration: #343, Cost: nan, Gradient Magnitude: 87.43
Iteration: #344, Cost: nan, Gradient Magnitude: 87.26
Iteration: #345, Cost: nan, Gradient Magnitude: 87.08
Iteration: #346, Cost: nan, Gradient Magnitude: 86.91
Iteration: #347, Cost: nan, Gradient Magnitude: 86.74
Iteration: #348, Cost: nan, Gradient Magnitude: 86.56
Iteration: #349, Cost: nan, Gradient Magnitude: 86.39
Iteration: #350, Cost: nan, Gradient Magnitude: 86.22
Iteration: #351, Cost: nan, Gradient Magnitude: 86.05
Iteration: #352, Cost: nan, Gradient Magnitude: 85.88
Iteration: #353, Cost: nan, Gradient Magnitude: 85.71
Iteration: #354, Cost: nan, Gradient Magnitude: 85.54
Iteration: #355, Cost: nan, Gradient Magnitude: 85.37
Iteration: #356, Cost: nan, Gradient Magnitude: 85.20
Iteration: #357, Cost: nan, Gradient Magnitude: 85.03
Iteration: #358, Cost: nan, Gradient Magnitude: 84.86
Iteration: #359, Cost: nan, Gradient Magnitude: 84.69
Iteration: #360, Cost: nan, Gradient Magnitude: 84.52
Iteration: #361, Cost: nan, Gradient Magnitude: 84.35
Iteration: #362, Cost: nan, Gradient Magnitude: 84.18
Iteration: #363, Cost: nan, Gradient Magnitude: 84.02
Iteration: #364, Cost: nan, Gradient Magnitude: 83.85
Iteration: #365, Cost: nan, Gradient Magnitude: 83.68
Iteration: #366, Cost: nan, Gradient Magnitude: 83.52
Iteration: #367, Cost: nan, Gradient Magnitude: 83.35
Iteration: #368, Cost: nan, Gradient Magnitude: 83.19
Iteration: #369, Cost: nan, Gradient Magnitude: 83.02
Iteration: #370, Cost: nan, Gradient Magnitude: 82.86
Iteration: #371, Cost: nan, Gradient Magnitude: 82.69
Iteration: #372, Cost: nan, Gradient Magnitude: 82.53
Iteration: #373, Cost: nan, Gradient Magnitude: 82.36
Iteration: #374, Cost: nan, Gradient Magnitude: 82.20
Iteration: #375, Cost: nan, Gradient Magnitude: 82.04
Iteration: #376, Cost: nan, Gradient Magnitude: 81.87
Iteration: #377, Cost: nan, Gradient Magnitude: 81.71
Iteration: #378, Cost: nan, Gradient Magnitude: 81.55
Iteration: #379, Cost: nan, Gradient Magnitude: 81.39
Iteration: #380, Cost: nan, Gradient Magnitude: 81.23
Iteration: #381, Cost: nan, Gradient Magnitude: 81.07
Iteration: #382, Cost: nan, Gradient Magnitude: 80.90
Iteration: #383, Cost: nan, Gradient Magnitude: 80.74
Iteration: #384, Cost: nan, Gradient Magnitude: 80.58
Iteration: #385, Cost: nan, Gradient Magnitude: 80.42
Iteration: #386, Cost: nan, Gradient Magnitude: 80.26
Iteration: #387, Cost: nan, Gradient Magnitude: 80.11
Iteration: #388, Cost: nan, Gradient Magnitude: 79.95
Iteration: #389, Cost: nan, Gradient Magnitude: 79.79
Iteration: #390, Cost: nan, Gradient Magnitude: 79.63
Iteration: #391, Cost: nan, Gradient Magnitude: 79.47
